Comunidades y Ciudades Autónomas;Edades;Sexo;Periodo;Total
Aragón;De 80 a 84 años;Total;2018;10,926
Aragón;De 80 a 84 años;Hombres;2021;18,316
Aragón;De 80 a 84 años;Hombres;2020;11,915
Aragón;De 80 a 84 años;Hombres;2019;45,63
Aragón;De 80 a 84 años;Hombres;2018;21,148
Aragón;De 80 a 84 años;Mujeres;2021;12,963
Aragón;De 80 a 84 años;Mujeres;2020;8,353
Aragón;De 80 a 84 años;Mujeres;2019;0
Aragón;De 80 a 84 años;Mujeres;2018;3,725
Aragón;De 85 a 89 años;Total;2021;14,184
Aragón;De 85 a 89 años;Total;2020;28,074
Aragón;De 85 a 89 años;Total;2019;16,818
Aragón;De 85 a 89 años;Total;2018;22,73
Aragón;De 85 a 89 años;Hombres;2021;37,668
Aragón;De 85 a 89 años;Hombres;2020;66,658
